customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,city,state,country,creditLimit,customerSegment
10039,Wilkins and Sons,Michael,Moss,001-284-790-5380x850,9459 Flynn Place Apt. 940,Hollyport,NC,Tokelau,42928.61,Mid-Market
10040,Spencer Group,Stephen,Pace,735-643-6802x0014,65019 Wood Pike Suite 557,Lindafort,MS,Saint Kitts and Nevis,228789.26,Individual
10041,"Wilson, Robinson and Baldwin",Gabriel,Cook,(793)456-1646x2779,80958 King Hills Suite 068,West Leslie,CT,Kazakhstan,198048.41,Individual
10042,"Brown, Beard and Chambers",Reginald,Osborn,001-604-578-7372x7974,485 Lauren Lane,New Jenniferborough,OR,Cambodia,95031.75,Enterprise
10043,Morgan-Beasley,Jo,Brewer,705.348.1906x466,4933 Obrien Courts Apt. 097,North Richard,SC,French Southern Territories,121759.99,SMB
10044,Case and Sons,Melinda,Hayes,836-712-9394,45466 Thornton Plains,Reidbury,TN,Iceland,175182.73,SMB
10045,Zuniga Ltd,Terri,Tucker,914-963-7466,066 Underwood Stravenue Apt. 212,South Douglasshire,,Barbados,137738.53,SMB
10046,Smith-Wilson,Jennifer,Shelton,(533)256-9067x673,55941 April Greens Suite 042,New Curtisshire,IA,Morocco,112262.16,Individual
10047,"Schmitt, Butler and Santos",Marie,Johnson,292.979.7801x154,2045 Colin Gateway,Lake Kristin,SC,Isle of Man,80540.6,Individual
10048,Salinas PLC,Christine,Rivera,(656)385-7237,1865 William Ridges,East Amy,CO,Bulgaria,14044.86,Mid-Market
10049,Gallegos and Sons,Alexandra,Shea,428-331-0165x99743,7913 Jeremy Spurs,Christopherport,MD,Iraq,179513.97,Enterprise
10050,Moore Ltd,Kevin,Barber,372.643.0482x52801,5085 Gloria Fields,Petersonville,KY,Reunion,53591.58,Enterprise
10051,Nelson-Garcia,Jesse,Wells,(979)718-5723x47428,36361 Roberts Lodge Suite 214,Port Shannonhaven,PA,Pakistan,178083.08,Enterprise
10052,"Mejia, Martinez and Smith",Juan,Jacobs,505-574-2776x8982,947 Gary Expressway,Lake Ana,NE,Cote d'Ivoire,172770.24,Mid-Market
10053,West PLC,Matthew,Morgan,322-870-5453x7152,458 Harrington Brook Apt. 859,Taylorhaven,AS,Tonga,138710.64,Individual
10054,Washington-Chang,Robert,Baird,910-813-5480x90166,8898 Paul Knolls,Gordonview,ME,Mali,244176.38,Mid-Market
10055,Jenkins-Fernandez,Holly,Sherman,859-573-8923x0421,84351 Christian Forges Suite 058,Jameshaven,AL,Aruba,207778.88,Mid-Market
10056,Lyons-Torres,Robert,Fowler,352-794-6580x64744,312 Timothy Highway Suite 038,Michellemouth,NH,Chile,182758.56,Individual
10057,"Edwards, Mitchell and Jimenez",Dennis,Myers,001-795-219-4216x8336,590 Catherine Corners Suite 132,Samanthaton,MO,Pitcairn Islands,136852.0,Mid-Market
10058,Young Ltd,Kristen,Hardin,001-654-563-9250x4621,281 Sutton Islands,Karenstad,,Palestinian Territory,245707.58,Mid-Market
10059,Petty-Haas,Devin,Vaughan,(838)814-6326,0634 Stout Union Apt. 989,Luisstad,,Slovakia (Slovak Republic),239915.56,Mid-Market
10060,Stephens PLC,Mark,Marshall,437.568.4418,117 Erika Brook Apt. 626,Port Markland,VI,Saint Kitts and Nevis,39924.06,SMB
10061,"Lawrence, Taylor and Howe",John,Johnson,(266)503-2496,374 Sheila Drive Apt. 055,Lake Jennifer,FL,Congo,241444.09,Enterprise
10062,Nelson-Peters,Cory,Howard,(521)444-7525,365 Burch Springs,East Ruth,AS,Monaco,107575.92,SMB
10063,Rodriguez-Huber,Gary,Johnson,+1-536-206-0311x6126,167 Peters Causeway,Jeffreyland,OK,Jordan,136739.26,Enterprise
10064,Bell Ltd,Brenda,Burns,994-210-7040,639 Willis Mission,Watershaven,MS,Montenegro,93028.54,Individual
10065,Cook Group,Christian,Snow,618-743-6632,200 Ruth Rapid,South Lisa,KS,Bouvet Island (Bouvetoya),73899.72,Mid-Market
10066,Oneal PLC,Sara,Rodriguez,001-902-593-1987,0998 Garcia Turnpike,Dyerberg,ME,Cape Verde,186599.12,SMB
10067,Anderson-Mcdonald,Cody,Faulkner,721-372-0581,1201 Barnett Fords,Brownton,AS,Latvia,232263.24,SMB
10068,Willis-Perez,Andrea,Stanley,212-647-0386x337,09498 Roberts Summit Apt. 190,Port Bryan,KS,Seychelles,22065.26,Mid-Market
10069,Rodriguez LLC,Christina,Diaz,001-245-549-9895,2467 Lindsey Terrace,Kathyland,GA,Senegal,48113.66,SMB
10070,"Hernandez, Davis and Adams",Robert,Rogers,731.772.9981,231 Morton Isle Apt. 236,North Ashley,FL,Poland,90576.29,SMB
10071,"Cooley, King and Smith",Connor,Smith,5147884498,3968 Mendoza Plains Suite 649,Lake Stevenbury,WA,Russian Federation,116553.4,Mid-Market
10072,"Sanchez, Faulkner and Pierce",Stephanie,Khan,306-426-7364,2163 Jasmine Port,Liland,MP,Singapore,202420.17,Mid-Market
10073,"Chandler, Lambert and Lopez",Gabrielle,Kemp,5035525514,42043 Bailey Park,Barkerstad,AZ,Mozambique,247747.0,Mid-Market
10074,"Blankenship, Romero and Steele",Adam,Wilson,001-322-535-1664,91299 Hoffman Trace,Williamsport,,Panama,220069.05,Individual
10075,"White, Jones and Cooley",Donald,Werner,648-342-9869x722,1526 Nelson Gateway,North Connie,KS,Western Sahara,105206.69,Individual
10076,"Walker, Acosta and Harvey",Anna,Martin,001-417-260-0037,534 Collins Fords,South Brettfurt,MS,Eritrea,132089.3,Enterprise
10077,Torres LLC,Jonathan,Nguyen,348.778.8117,304 Anita Glen Suite 683,Michellechester,NV,Faroe Islands,244564.38,Individual
10078,"Singh, Richardson and Cox",Melissa,Burgess,624.859.3652x46666,3906 Edwards Lane Apt. 411,South Seanton,AS,Saint Lucia,45351.4,Enterprise
10079,Butler Group,Laurie,Barrera,+1-452-358-3310x5874,68938 Jeffrey Lane,Douglasshire,MO,Kiribati,231852.99,Mid-Market
10080,"Hansen, Torres and Guzman",Danielle,Anderson,(657)562-4954x264,0197 Pitts Village Apt. 300,Stevenview,KS,Korea,189852.69,SMB
10081,"Sanders, Weiss and Matthews",Erin,Guzman,+1-218-877-6140x11401,908 Christina Grove,South Deannaville,VT,Thailand,118620.44,Enterprise
10082,"Vazquez, Tyler and Ellis",Charles,Wilcox,863-473-1081,88104 Sanchez Trace Apt. 019,Leefurt,CT,Rwanda,213666.25,Enterprise
10083,Lambert LLC,Charles,Berry,6793678987,7397 Lisa Run Apt. 913,Sandraton,,Jordan,88501.46,Individual
10084,Liu-Hill,Wanda,Patton,8182054759,273 John Passage,Port Rebeccaville,PW,Andorra,205298.9,Enterprise
10085,"Dunlap, Bowman and Galvan",Veronica,Lawson,714.214.6800x1250,759 Johnson Trafficway Suite 337,Gonzalezville,MA,Japan,183027.73,Enterprise
10086,Gray PLC,James,Berg,440.493.8066x994,47150 White View,New Maureen,OH,American Samoa,42019.38,Enterprise
10087,Morris-Allen,Daniel,Gould,549-213-9785x4797,30410 Rodriguez Canyon,South Jessebury,AK,Botswana,184248.04,SMB
10088,Martin Ltd,Ronnie,Williams,(581)215-7995x0561,81100 Jodi Island Suite 665,East Ellenside,MT,Uruguay,145603.75,Individual
10089,"Turner, Rhodes and Russell",Kelly,Hampton,001-259-330-2605x469,22751 Robert Highway,Olivermouth,HI,Albania,234417.16,SMB
10090,Jefferson-Sanders,Kyle,Paul,(523)202-2454x094,92640 Ryan Circles,Port Emily,FM,United Arab Emirates,15762.85,Mid-Market
10091,Mclean-Benitez,Denise,Ballard,(280)526-0447,251 Kevin Garden Suite 857,South Jeffrey,RI,Nicaragua,34954.31,Mid-Market
10092,Johnson Group,Teresa,Young,+1-277-370-0434x933,83554 Regina Meadows Suite 334,Nicolefurt,PA,Cameroon,157055.95,Individual
10093,Tucker and Sons,Jonathan,Miller,+1-768-265-1351x883,7142 Rachel Pass Suite 803,East Joel,MD,Nauru,105389.32,Mid-Market
10094,Rodriguez-Perez,Travis,Mann,(527)359-6766,4159 Walter Common,Annefurt,PW,Equatorial Guinea,207605.33,SMB
10095,Williams-Flores,Brenda,Murphy,001-615-394-8148,133 Bowen Village,Port Stephaniemouth,PR,Monaco,152449.57,Mid-Market
10096,Haynes PLC,Debra,Mitchell,001-934-350-9789x057,54871 Larsen Place,Lake Angela,AZ,British Indian Ocean Territory (Chagos Archipelago),175244.81,Mid-Market
10097,"Gonzales, Rowe and Pearson",Ivan,Gross,3444915655,492 Moore Extensions,Brooksside,FL,Marshall Islands,125023.06,Mid-Market
10098,David Inc,Billy,Sims,+1-531-558-2556,45163 Williams Circles,Lake Andrew,ME,Nepal,108727.85,SMB
10099,Robinson Inc,Michael,Thomas,001-722-480-8055x5884,92230 Sanders Tunnel Apt. 197,Mendozaton,CT,Bahrain,35204.26,Individual
10100,Smith Group,Wendy,Matthews,001-759-260-4091x7088,770 Johnathan Ford,Watsonmouth,MP,Hungary,155646.1,Mid-Market
10101,Moore-Becker,Whitney,Walter,(607)644-1267x840,62791 Little Light Suite 997,Stacieberg,IL,Lao People's Democratic Republic,116915.52,Individual
10102,"Kelly, Blanchard and Lopez",Lisa,Mcdonald,+1-802-259-0859x0927,3813 Jennifer Creek Apt. 691,South Jerry,,Hong Kong,193672.8,Mid-Market
10103,Roberson Group,David,Jenkins,(354)319-8954x5488,9362 Wagner Circle,Sandovalland,HI,Pakistan,166286.3,Enterprise
10104,Small and Sons,Melinda,Shelton,(373)359-5714x4103,13116 Buckley Corners Apt. 015,New Mark,ID,Puerto Rico,136986.49,Mid-Market
10105,Cunningham Ltd,Lauren,Mitchell,795-809-5727,27963 Megan Bridge Suite 757,South Kathleenville,CT,South Georgia and the South Sandwich Islands,144829.55,SMB
10106,Brock and Sons,Julie,Mayo,991.640.2638,03791 Tanya Track,Steveville,VI,Uzbekistan,154313.55,Individual
10107,Wilson Ltd,Hector,Jackson,(311)245-4875x1923,72598 Barker Cove Apt. 253,Bradleyville,ND,United Kingdom,157646.46,Individual
10108,Barnes Group,Daniel,Williams,+1-422-698-9057x1242,631 Powell Walk Apt. 186,Lake Christopher,,United States Minor Outlying Islands,11705.58,Individual
10109,Mccarthy-Rodriguez,Michelle,Stephens,899.947.2129x5653,45886 Berry Trace,Maryhaven,VA,Kyrgyz Republic,71911.88,Enterprise
10110,Jones LLC,Isaac,Kirk,001-384-376-9956x45056,778 Martinez Forest,Lake Sarah,WI,Qatar,201133.12,Individual
10111,"Floyd, Mitchell and Martin",Andrea,Deleon,001-707-925-4354x44119,69438 King Mews Suite 065,South Shannonmouth,WV,Hungary,96203.26,Enterprise
10112,Mathis LLC,Peter,Tucker,+1-916-704-8004,097 Susan Loop Suite 524,North Mariohaven,MA,American Samoa,132847.97,Individual
10113,"Figueroa, Marshall and Hill",Paul,Lindsey,(876)386-5501x885,487 Rodriguez Shores,Reedland,MT,Suriname,137777.4,Mid-Market
10114,Lee PLC,Marilyn,Sharp,001-305-334-1978,89464 Richard Pine Suite 042,New Wendy,AK,Saint Vincent and the Grenadines,117969.82,Enterprise
10115,Gonzalez-Cohen,Cynthia,Gonzalez,4959066026,829 Wilkinson Roads Suite 635,North Barbarafurt,,Gabon,61152.34,Enterprise
10116,Miller Ltd,John,Torres,001-671-646-5444x4296,8705 Danielle Extension,West Sarahberg,NH,Panama,171390.78,SMB
10117,"Scott, Wang and Hodge",Andrew,Collins,843.830.9283x26167,626 Freeman Walks,Lake Victoriatown,,Ghana,176453.87,Mid-Market
10118,Werner-Martin,Stephen,Powell,(680)794-9197x501,602 Daniel Parkways Suite 871,North Nicholaston,WY,China,33218.87,Individual
10119,"Nguyen, King and Conley",Stephanie,Wilson,(231)307-5074x0181,479 Bailey Stravenue,Melaniehaven,VI,French Southern Territories,92859.28,Individual
10120,"Chen, Martin and Lester",April,Williams,(598)396-4833x76868,933 Christina Via Apt. 064,Williamsside,WA,Guam,142415.72,Mid-Market
10121,Lee Ltd,Rebecca,Rivera,418-399-7381,930 Brian Forest,West Alyssaborough,,Hungary,54144.42,Mid-Market
10122,"Ray, Sawyer and Young",Jennifer,Price,+1-828-853-3532x131,50608 Todd Canyon,New Kathleen,,Greenland,100540.26,Individual
10123,Simmons-Erickson,Brittany,Edwards,386.385.0219,08364 Susan Mews Apt. 051,Port Mary,IL,Luxembourg,55497.06,Enterprise
10124,Weaver Group,Hunter,Vasquez,5469730906,8335 Sexton Extensions,New Christopherfort,KS,Somalia,37269.91,Mid-Market
10125,"Ramirez, Sanchez and Brown",Joseph,Diaz,5956151232,4917 Gibson Circle,Allenberg,IA,Benin,240726.15,Individual
10126,White and Sons,Amanda,Hill,001-338-212-9297x859,343 Daniel Camp Apt. 293,West Triciaport,DC,Bulgaria,228732.77,Enterprise
10127,"Woods, Smith and Dunn",Ashley,Stokes,567.200.6390,87081 Baird Manors,Lake Lisa,TN,Mozambique,136431.46,Mid-Market
10128,Todd-Lewis,Jeffery,Avery,689.791.3285,58268 Flowers Parkway Apt. 163,Russellberg,,Saint Kitts and Nevis,68347.59,SMB
10129,"Mathews, Le and Ortega",Caleb,Morris,(480)492-1977,6246 Smith Landing,West William,MN,Liechtenstein,113839.08,Individual
10130,"Edwards, Nguyen and Walker",Jacob,Perez,(634)697-9179x911,68177 Young Parkways Suite 026,South Bryanchester,IA,Togo,41015.83,Individual
10131,Colon-Cooper,Stacey,Johnson,401.369.8623x84286,69480 Francis Greens,Brendaview,TN,French Guiana,216523.7,Individual
10132,"Martinez, Hubbard and Tanner",Lisa,Roberts,(779)495-8465x6814,0318 Allen Shoals Apt. 184,North Georgebury,AL,Pakistan,245140.03,Mid-Market
10133,Ryan-House,Krystal,Lopez,696.870.4674x987,688 Lisa Skyway,Port Danielmouth,NC,British Indian Ocean Territory (Chagos Archipelago),123618.62,SMB
10134,Thompson and Sons,Tiffany,Butler,(476)348-2628x619,34205 Jacqueline Loop Suite 945,East James,,Brazil,22365.27,Enterprise
10135,Yoder-Smith,Jesse,Bishop,(936)561-3741x010,099 Donna Loaf,Davismouth,HI,Mali,233993.37,SMB
10136,Lambert-Wong,Christian,Bright,602-485-1242x510,2408 Sarah Fall Suite 210,New Christopher,TN,Bouvet Island (Bouvetoya),168994.8,Enterprise
10137,Jenkins PLC,Carol,Conley,001-525-800-2193x8911,2126 Medina Circle Suite 709,East Chadville,KS,Haiti,99716.33,Individual
10138,Cummings and Sons,Juan,Wood,2199543867,94062 Russell Pines,New Heathershire,,Vietnam,128736.35,Enterprise
10139,Turner-Hernandez,Ashley,Smith,001-707-313-5405,9772 Paul Flats,Tinastad,DE,Gibraltar,66535.43,Individual
10140,Hernandez and Sons,Trevor,Novak,+1-242-831-6686,30632 Richard Prairie Apt. 081,Joshuachester,PR,Barbados,60925.26,Individual
10141,"Ali, Lam and Stevens",Karen,Clayton,635.592.6518x18313,28276 Luis Ports,Maychester,NY,Belize,247619.74,SMB
10142,"Martin, Odom and Harrell",John,Walsh,(910)734-5231,3758 Park Run,West Alex,MD,Portugal,86484.92,SMB
10143,Jones LLC,Justin,Jenkins,364.783.5676,4525 Nancy Junctions Suite 808,Jessicaland,FL,Eritrea,184447.97,Individual
10144,Allison-Mcbride,Stephanie,Anderson,639-754-3370x1951,1209 Carol Terrace Apt. 991,West Jeffville,TX,Martinique,55129.03,Individual
10145,Barrett-Holt,Lisa,Roberts,552-730-6697x85189,989 Norris Throughway,Waltersmouth,IL,Zimbabwe,167036.69,SMB
10146,Clark Group,Edward,Charles,595.647.5456x48551,9184 Henderson Point,Armstrongshire,GU,Congo,224171.24,Individual
10147,"Sandoval, Hodges and White",Jennifer,Thomas,(211)225-9732x775,92544 Brian Stream Suite 613,South Cody,GA,Ecuador,65873.52,SMB
10148,Sherman-Chavez,Isaac,Garcia,(304)956-8832x39743,024 Laurie Crest,North Edward,OK,Bahrain,181633.06,Enterprise
10149,Clark-Mathews,Eric,Ferguson,+1-736-718-6535x8794,087 Oneill Mission,Port Christopher,NM,Kazakhstan,242189.42,Mid-Market
10150,Pierce LLC,John,Daugherty,(221)657-2090x764,083 Mary Gateway Apt. 109,Jenniferview,KS,American Samoa,35748.01,Enterprise
10151,"Fischer, Owens and Chavez",Nicole,Cruz,001-327-294-0664x190,048 Mckenzie Spring,North Kimberlyport,PR,Pitcairn Islands,70077.01,Enterprise
10152,"Wilson, Mendez and Clark",Taylor,Davis,892.307.2606x590,17517 Bright Rapids,Lake Hollymouth,AL,Lesotho,172091.73,Mid-Market
10153,Wagner and Sons,Jane,Olson,+1-758-790-9876,0930 Robert Ramp,Beckburgh,RI,United States of America,65287.91,Mid-Market
10154,"Johnson, Cervantes and Kim",Joshua,Diaz,(966)344-5016x44357,2833 Jay Rest Suite 083,West Laura,,Serbia,159138.32,Mid-Market
10155,Sullivan-Anderson,Erik,Garcia,(580)277-1238,2556 Melissa Track,Thompsonberg,NM,Egypt,26437.95,Mid-Market
10156,"Bowman, Myers and Bradshaw",Amanda,Carpenter,5332502831,205 May Lane Suite 547,Jasonport,DC,Montenegro,243246.41,Mid-Market
10157,Mills Ltd,Lauren,Watson,260-752-7207x34526,00125 Simmons Stream,Reyestown,AK,Somalia,170901.18,Mid-Market
10158,"Perkins, Berry and Klein",Maria,Chavez,635-515-1570,0938 Garza Walks Suite 506,North Katherine,NE,Suriname,117815.01,Enterprise
10159,Castro and Sons,Joanne,Berg,450.669.1040,0619 Matthew Islands,Johnbury,,Venezuela,210612.79,SMB
10160,Aguilar PLC,Kathleen,White,001-516-318-8495,03365 Owens Burgs Suite 201,South Glenn,NM,Western Sahara,154618.26,Individual
10161,"Clarke, West and Thompson",Sarah,Warren,(317)985-1864x8200,53151 Jonathan Overpass Suite 845,Anthonymouth,IL,Azerbaijan,55163.69,SMB
10162,Hart and Sons,Debra,Mckenzie,6648982533,1852 Osborne Islands Apt. 146,Victorborough,MP,Seychelles,239693.33,SMB
10163,Smith-Hart,Nathaniel,Christensen,+1-452-855-6364x3662,30910 Jeffrey Crossing Suite 694,Sheltonmouth,MN,Tokelau,237361.64,SMB
10164,Stafford Inc,Mark,Robertson,841.240.1079x12989,5610 Victor Ramp Apt. 207,East Amanda,AZ,Bosnia and Herzegovina,204558.42,Individual
10165,Reyes-Myers,Kristie,Craig,001-667-739-0822x733,0691 English Motorway Suite 689,Brandiborough,OK,Brazil,108127.15,Mid-Market
10166,Mullen-Ward,Cory,Pham,001-769-418-3581x9434,2262 Ramirez Plains Suite 051,South Stephenshire,MN,Netherlands,111821.41,Mid-Market
10167,Sherman-Rogers,Michelle,Larson,294.835.1133x032,8898 Wallace Plains Apt. 687,Port Courtney,WY,Montenegro,233572.78,SMB
10168,Hernandez Ltd,Steven,Snow,001-214-474-0572x161,489 Tracy Mission,North Kyleshire,OK,Spain,81156.3,Enterprise
10169,Johnson-Phillips,Mary,Conway,(253)789-6001,71503 Avery Rue Apt. 717,East Debra,CO,Thailand,60350.96,Enterprise
10170,Thompson and Sons,Christopher,Murphy,+1-335-888-2319x349,2747 Daniel Inlet,Nicholasfurt,SD,Puerto Rico,70865.69,Individual
10171,Walters-Rodriguez,Carla,Gray,8935625567,1908 Crystal Mills Apt. 233,Port Sandra,,United States Minor Outlying Islands,152443.28,Individual
10172,Scott PLC,Brenda,Reyes,(515)663-7650x3874,666 Justin Mill,Martinezhaven,ME,Faroe Islands,92939.0,Individual
10173,Fisher Ltd,Martin,Brown,642.473.2986,3334 Mckay Forges Apt. 042,Brownshire,CA,Vietnam,14893.63,Mid-Market
10174,Garcia LLC,Daniel,Dyer,(212)381-0033,758 Joseph Plaza Suite 228,East Allentown,PR,Pakistan,109856.54,Mid-Market
10175,Miller LLC,Loretta,Davis,916-563-0952,8198 Roman Ferry,North Lisa,CT,British Virgin Islands,210716.71,Mid-Market
10176,Scott Inc,Margaret,Mcmillan,405.815.3294,54279 Fuentes Spurs Apt. 566,Lake Adrianberg,PW,Mauritania,39599.86,Enterprise
10177,"Johnson, Burnett and Lucas",Andrea,Collins,282-885-2576x68243,62375 Rice Courts,Haynesville,AK,Gibraltar,61375.88,SMB
10178,"Davis, Reynolds and Johnson",Elizabeth,Wilson,516.751.7731x283,114 Melissa Locks Suite 422,Kevinmouth,UT,Western Sahara,213840.89,SMB
10179,"Smith, Martin and Hill",Jack,Munoz,(925)492-2461x416,36791 David Lodge,Clarkstad,OK,Martinique,75312.78,Enterprise
10180,"Blanchard, Williams and Willis",Jason,Cook,001-220-825-0872x68121,591 Wheeler Pass,Lake Erichaven,WA,Aruba,240089.29,Mid-Market
10181,Silva Inc,April,Padilla,929-222-2041,4116 Carroll Mission,Port Stephanieburgh,MH,Jordan,105930.76,Mid-Market
10182,Powell Group,Joshua,Allen,+1-866-639-5128,3891 Russell Groves Suite 838,North Fred,,Andorra,99511.13,SMB
10183,Morris LLC,Abigail,Jenkins,(306)806-7246,8283 William Port Apt. 665,Millerbury,VA,Iraq,155978.7,Individual
10184,Brown-Vega,Joshua,Garcia,+1-952-207-8271,9263 Kyle Forest Apt. 603,Nicholasberg,SD,Jersey,232384.99,SMB
10185,Hawkins Ltd,Jon,Thompson,(823)908-8267,76019 Lopez Ridges,Smithland,KS,Tunisia,65317.64,Individual
10186,"Simpson, Ferguson and Green",Alexandra,Kelly,(344)719-4044,1645 Curtis Plains,Freemanmouth,,United States of America,109734.14,SMB
10187,Anderson-Rodgers,Sarah,Ortiz,9465552932,0699 Jackson Plaza,North Lukemouth,MH,Nepal,77708.61,Individual
10188,Stewart Group,Joshua,Miller,(307)982-8825,1257 Lisa Causeway Suite 817,North Kellyfort,TN,United States Virgin Islands,68653.37,SMB
10189,Garcia-Lucas,Melissa,Ramirez,3712294187,286 Taylor Point,Beckside,MP,Azerbaijan,123403.64,Enterprise
10190,"Galvan, Rollins and Freeman",Brian,Adams,+1-708-992-9612,42199 Patricia Knoll Apt. 400,Bushborough,MD,Kiribati,95880.62,Enterprise
10191,"Silva, Robinson and Pratt",Christopher,Thomas,917-814-6586x48837,9163 Garza Highway Apt. 585,Lake Michelleview,WY,Brazil,90232.3,SMB
10192,Wagner-Williams,Danielle,Gray,(469)221-6912,793 Taylor Expressway,Owenport,,Mayotte,165242.7,Mid-Market
